"UG_PGT","Current_Degree_1","Current_Degree_2","Degree_Prog_1","Degree_Prog_2","Year_level","Tech_Familiarity","GenAI_Familiarity","GenAI_What_Ways","Familiarity_1","Familiarity_2","Familiarity_3","Familiarity_4","Familiarity_5","Familiarity_6","Familiarity_7","Familiarity_8","Benefit_Challenge_1","Benefit_Challenge_2","Benefit_Challenge_3","Benefit_Challenge_4","Benefit_Challenge_5","Benefit_Challenge_6","Benefit_Challenge_7","Benefit_Challenge_8","Benefit_Challenge_9","Future_1","Future_2","Future_3","Future_4","Future_5","Future_6"
"UG","UTMATST",NA,NA,NA,4,"Extremely familiar","Moderately familiar","Asking technical questions,Carrying on a conversation out of curiosity,Asking general knowledge questions / advice,Checking solutions,Asking quick questions when stuck on a problem,Explaining concepts","Somewhat agree","Somewhat agree","Somewhat disagree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat disagree","Neither agree nor disagree","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Somewhat disagree","Strongly agree","Somewhat disagree","Strongly disagree","Somewhat disagree","Somewhat agree"
"UG","UTMATHB",NA,NA,NA,3,"Very familiar","Slightly familiar","Have not used","Strongly disagree","Strongly agree","Neither agree nor disagree","Strongly disagree",NA,"Strongly agree","Neither agree nor disagree","Somewhat disagree","Somewhat agree","Somewhat disagree","Neither agree nor disagree","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Strongly disagree","Somewhat agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat disagree"
"UG","UTMATHB",NA,NA,NA,4,"Very familiar","Moderately familiar","Asking technical questions,Checking solutions,Asking quick questions when stuck on a problem,Other (Please Specify)","Somewhat disagree","Strongly agree","Neither agree nor disagree","Strongly disagree","Somewhat agree","Strongly agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat agree","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree"
"UG","Others",NA,"Computer Science and Mathematics (BSc Hons)",NA,3,"Extremely familiar","Very familiar","Asking technical questions,Asking general knowledge questions / advice,Asking quick questions when stuck on a problem,Explaining concepts","Somewhat agree","Strongly agree","Somewhat agree","Somewhat disagree","Neither agree nor disagree","Strongly agree","Strongly disagree","Somewhat disagree","Somewhat agree","Somewhat agree","Strongly disagree","Strongly disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat disagree","Somewhat agree","Strongly disagree","Strongly disagree","Strongly agree","Strongly agree"
"UG","UTMATST",NA,NA,NA,3,"Moderately familiar","Moderately familiar","Asking technical questions,Carrying on a conversation out of curiosity,Asking quick questions when stuck on a problem,Explaining concepts","Somewhat disagree","Strongly disagree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Strongly agree","Somewhat agree","Somewhat disagree","Strongly agree","Somewhat agree","Somewhat disagree","Strongly disagree","Neither agree nor disagree","Strongly disagree","Strongly disagree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly disagree","Strongly disagree","Somewhat disagree","Somewhat agree"
"UG","UTMATHB",NA,NA,NA,3,"Very familiar","Slightly familiar","Have not used","Somewhat disagree","Strongly agree","Neither agree nor disagree","Strongly disagree","Somewhat disagree","Strongly agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat disagree","Somewhat agree","Neither agree nor disagree","Somewhat disagree","Somewhat agree","Somewhat disagree","Somewhat disagree"
"UG","UTMMATHEMA1F",NA,NA,NA,3,"Moderately familiar","Not at all familiar",NA,"Strongly disagree","Strongly agree","Strongly disagree","Strongly disagree","Somewhat agree","Strongly agree","Strongly disagree","Neither agree nor disagree","Somewhat agree","Strongly agree","Somewhat disagree","Strongly disagree","Strongly disagree","Neither agree nor disagree","Strongly agree","Strongly disagree","Strongly disagree","Strongly agree","Strongly disagree","Strongly disagree","Somewhat disagree","Somewhat agree","Strongly agree"
"UG","UTMATST",NA,NA,NA,3,"Moderately familiar","Moderately familiar","Asking technical questions,Asking general knowledge questions / advice,Solving homework,Checking solutions,Asking quick questions when stuck on a problem,Explaining concepts,Writing essays","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree"
"UG","UTMMATHEMA1F",NA,NA,NA,5,"Moderately familiar","Slightly familiar","Have not used","Neither agree nor disagree","Somewhat agree","Strongly disagree","Somewhat disagree","Somewhat disagree","Strongly agree","Somewhat disagree","Strongly agree","Somewhat agree","Somewhat disagree","Somewhat disagree","Strongly disagree","Neither agree nor disagree","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat disagree","Somewhat disagree","Somewhat agree","Strongly agree","Strongly disagree","Strongly agree","Somewhat agree"
"UG","UTMMATHEMA1F",NA,NA,NA,3,"Moderately familiar","Moderately familiar","Asking technical questions,Other (Please Specify)","Neither agree nor disagree","Somewhat agree","Somewhat disagree","Somewhat disagree","Somewhat agree","Strongly agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat disagree","Neither agree nor disagree",NA,"Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Somewhat disagree","Somewhat agree","Somewhat agree"
"UG","Others",NA,"Theoretical Physics (MPhys) (I have taken several SoM courses)",NA,3,"Moderately familiar","Moderately familiar","Have not used","Strongly disagree","Strongly agree","Neither agree nor disagree","Strongly disagree","Somewhat agree","Somewhat agree","Strongly disagree","Somewhat disagree","Somewhat agree","Strongly agree","Neither agree nor disagree","Somewhat disagree","Strongly disagree","Neither agree nor disagree","Somewhat agree","Strongly disagree",NA,"Strongly agree","Somewhat disagree","Neither agree nor disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree"
"UG","Others",NA,"Computing and Mathematics",NA,3,"Extremely familiar","Very familiar","Asking technical questions,Carrying on a conversation out of curiosity,Asking general knowledge questions / advice,Asking quick questions when stuck on a problem,Explaining concepts,Other (Please Specify)","Strongly agree","Somewhat agree","Somewhat agree","Somewhat disagree","Strongly disagree","Neither agree nor disagree","Somewhat disagree","Strongly disagree","Strongly agree","Somewhat disagree","Strongly agree","Strongly disagree","Somewhat agree","Strongly disagree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","Strongly disagree","Strongly disagree","Somewhat disagree","Strongly agree","Strongly agree"
"UG","Others",NA,"Mechanical Engineering",NA,3,"Extremely familiar","Very familiar","Asking technical questions,Carrying on a conversation out of curiosity,Asking general knowledge questions / advice,Checking solutions,Asking quick questions when stuck on a problem,Writing essays,Other (Please Specify)","Somewhat agree","Neither agree nor disagree","Strongly agree","Somewhat agree","Strongly disagree","Strongly disagree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat disagree","Strongly agree","Neither agree nor disagree","Strongly agree","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly disagree","Strongly agree","Somewhat agree","Strongly disagree","Somewhat agree","Strongly agree"
"UG","UTBSCMATBU1F",NA,NA,NA,3,"Very familiar","Moderately familiar","Checking solutions,Explaining concepts","Somewhat agree","Somewhat disagree","Somewhat agree","Strongly disagree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Somewhat disagree","Somewhat agree","Somewhat disagree","Somewhat agree","Strongly disagree","Somewhat disagree","Somewhat agree","Strongly agree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Somewhat disagree","Strongly disagree","Neither agree nor disagree","Somewhat agree","Somewhat agree"
"UG","UTMATHB",NA,NA,NA,3,"Extremely familiar","Moderately familiar","Other (Please Specify)","Strongly disagree","Strongly agree","Neither agree nor disagree","Strongly disagree","Neither agree nor disagree","Strongly agree","Somewhat disagree","Neither agree nor disagree","Somewhat disagree","Strongly agree","Somewhat disagree","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Somewhat disagree","Somewhat agree","Somewhat agree","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree"
"UG","Others",NA,"Visiting student",NA,3,"Very familiar","Slightly familiar","Asking technical questions,Checking solutions,Asking quick questions when stuck on a problem","Somewhat agree","Strongly agree","Strongly agree","Somewhat disagree","Somewhat agree","Strongly agree","Somewhat agree","Strongly agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Strongly disagree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat disagree","Somewhat agree","Somewhat agree","Strongly disagree","Neither agree nor disagree","Somewhat agree","Strongly agree"
"UG","UTMATHB",NA,NA,NA,3,"Very familiar","Moderately familiar","Carrying on a conversation out of curiosity,Asking general knowledge questions / advice,Asking quick questions when stuck on a problem,Explaining concepts","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat disagree","Neither agree nor disagree","Strongly agree","Neither agree nor disagree","Strongly agree","Somewhat disagree","Somewhat agree","Somewhat disagree","Strongly disagree","Neither agree nor disagree","Strongly disagree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat disagree","Neither agree nor disagree","Somewhat disagree","Somewhat disagree","Somewhat agree","Strongly agree"
"UG","Others",NA,"Computer Science and Mathematics (BSc Hons)",NA,3,"Very familiar","Moderately familiar","Asking technical questions,Carrying on a conversation out of curiosity,Asking general knowledge questions / advice,Asking quick questions when stuck on a problem,Explaining concepts","Neither agree nor disagree","Somewhat disagree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat agree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat disagree","Strongly disagree","Somewhat agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Strongly disagree","Neither agree nor disagree","Strongly agree","Strongly agree"
"UG","UTAPMAT",NA,NA,NA,3,"Extremely familiar","Moderately familiar","Asking technical questions,Carrying on a conversation out of curiosity,Asking general knowledge questions / advice,Solving homework,Checking solutions,Asking quick questions when stuck on a problem,Explaining concepts,Writing essays","Somewhat agree","Strongly agree","Strongly agree","Neither agree nor disagree","Somewhat disagree","Somewhat disagree","Strongly agree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Strongly agree","Somewhat disagree","Somewhat agree","Strongly disagree","Neither agree nor disagree","Somewhat disagree","Neither agree nor disagree","Neither agree nor disagree","Strongly agree","Somewhat disagree","Neither agree nor disagree","Strongly agree","Somewhat agree"
"UG","UTMATST",NA,NA,NA,3,"Extremely familiar","Very familiar","Asking technical questions,Carrying on a conversation out of curiosity,Asking general knowledge questions / advice,Checking solutions,Asking quick questions when stuck on a problem,Explaining concepts","Neither agree nor disagree","Strongly agree","Strongly agree","Somewhat agree","Somewhat disagree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Neither agree nor disagree","Strongly disagree","Strongly disagree","Somewhat agree","Somewhat agree","Strongly agree","Somewhat disagree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Strongly disagree","Neither agree nor disagree","Somewhat agree","Strongly agree"
"UG","UTMATHB",NA,NA,NA,3,"Extremely familiar","Moderately familiar","Asking technical questions,Carrying on a conversation out of curiosity,Asking quick questions when stuck on a problem,Writing essays","Somewhat disagree","Somewhat agree","Strongly agree","Strongly disagree","Neither agree nor disagree","Strongly agree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat disagree","Somewhat agree","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Neither agree nor disagree","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Strongly agree","Somewhat agree","Strongly disagree","Strongly agree","Somewhat agree"
